# whole-ring statistic, cell 0, 240 stations, under 3:1 (dropped counted), two photographs each [a,b]; worst = min painted; left = left-side median
arm | engine | theme | board | under | unpainted | worst | left
=== control-74a2b5d9-dist load { 282.97 216.92 157.75 }
arm-sized-PLANT-clip0 | chromium | light | 4×4 | 240/240 | 240/240 | / | 1/1 | payload ok
arm-sized-PLANT-clip0 | chromium | dark | 16×16 | 240/240 | 149/149 | 1.044/1.044 | 1.256/1.256 | payload ok
arm-sized-PLANT-clip0 | chromium | dark | 9×9 | 240/240 | 180/180 | 1.059/1.059 | 1.097/1.097 | payload ok
arm-sized-PLANT-clip0 | chromium | dark | 4×4 | 240/240 | 240/240 | / | 1/1 | payload ok
arm-sized-PLANT-clip0 | webkit | light | 16×16 | 240/240 | 240/240 | / | 1/1 | payload ok
arm-sized-PLANT-clip0 | webkit | light | 9×9 | 240/240 | 240/240 | / | 1/1 | payload ok
arm-sized-PLANT-clip0 | webkit | light | 4×4 | 240/240 | 240/240 | / | 1/1 | payload ok
arm-sized-PLANT-clip0 | webkit | dark | 16×16 | 240/240 | 240/240 | / | 1/1 | payload ok
arm-sized-PLANT-clip0 | webkit | dark | 9×9 | 240/240 | 240/240 | / | 1/1 | payload ok
arm-sized-PLANT-clip0 | webkit | dark | 4×4 | 240/240 | 240/240 | / | 1/1 | payload ok
