# FA6 — per-file denominator, all:true present vs absent (vitest 4.1.10)
# file	stmt.total WITH	stmt.total WITHOUT	pct WITH	pct WITHOUT
src/pencil/chrome/icons/RedoIcon.vue	0	0	100	100
src/pencil/chrome/icons/ShareIcon.vue	0	0	100	100
src/pencil/chrome/icons/SolveIcon.vue	0	0	100	100
src/pencil/chrome/icons/UndoIcon.vue	0	0	100	100
src/pencil/composables/boilBeat.ts	28	28	85.71	85.71
src/pencil/composables/celebration.ts	42	42	38.09	38.09
src/pencil/composables/rasterPose.ts	99	99	8.08	8.08
src/pencil/config/pencilConfig.ts	30	30	66.66	66.66
src/pencil/dev/DebugToggle.vue	2	2	0	0
src/pencil/dev/FilterTuner.vue	72	72	0	0
src/pencil/dev/rafInstrumentation.ts	28	28	0	0
src/pencil/glyph/HandwrittenGlyph.vue	130	130	50.76	50.76
src/pencil/glyph/glyphAnimations.ts	42	42	33.33	33.33
src/pencil/glyph/glyphPaths.ts	1	1	100	100
src/pencil/glyph/glyphRegistry.ts	24	24	95.83	95.83
src/pencil/grid/HandDrawnGrid/HandDrawnGrid.vue	95	95	1.05	1.05
src/pencil/grid/HandDrawnGrid/usePathAnimation.ts	86	86	0	0
src/pencil/grid/HandDrawnOutline.vue	35	35	51.42	51.42
src/pencil/grid/gridPaths.ts	157	157	79.61	79.61
src/pencil/sheet/AnswerKeyLaminate.vue	65	65	0	0
src/pencil/sheet/SheetWashiLabel.vue	10	10	100	100
src/pencil/types.ts	0	0	100	100
TOTAL	6648	6648	62.72	62.69
# rows: 134  denominator rows that moved: 0
