engine	dpr	strip	arm	size	photo_delta	cov	skel_med_dev	max_over_med	stroke_over_h	apertures	paper_regions	tile_rgb	tile_on_strip	core_median	sub45_n	frac_under45	frac_under3	blur_sigma
webkit	1	dark-strip	opus	16	0.000	0.254	2.000	1.414	0.182	[2, 3]	1	[17, 15, 14]	1.187	15.459	27	0.290	0.204	0
webkit	1	light-active	B	16	0.000	0.291	2.414	1.172	0.201	[2, 3]	1	[251, 250, 249]	1.042	18.991	40	0.360	0.333	0
webkit	1	light-active	H	16	0.000	0.239	2.000	1.414	0.167	[3, 3]	1	[251, 250, 249]	1.042	18.252	24	0.276	0.264	0
webkit	1	light-active	P	16	0.000	0.228	2.000	2.000	0.167	[3, 4]	1	[251, 250, 249]	1.042	15.261	30	0.341	0.261	
webkit	1	light-active	W	16	0.000	0.230	2.000	1.414	0.167	[3, 3]	1	[251, 250, 249]	1.042	18.252	31	0.360	0.302	0
webkit	1	light-active	fable	16	0.000	0.194	2.000	1.414	0.167	[2, 4]	1	[251, 250, 249]	1.042	16.707	30	0.390	0.338	0
webkit	1	light-active	main	16	0.000	0.527	4.000	1.500	0.286	[2, 2]	1	[250, 248, 245]	1.060	15.190	77	0.385	0.295	0.350
webkit	1	light-active	opus	16	0.000	0.255	2.000	1.414	0.182	[2, 3]	1	[251, 250, 249]	1.042	18.518	31	0.330	0.277	0
webkit	1	light-strip	B	16	0.000	0.291	2.414	1.172	0.201	[2, 3]	1	[251, 250, 249]	1.258	18.991	40	0.360	0.333	0
webkit	1	light-strip	H	16	0.000	0.239	2.000	1.414	0.167	[3, 3]	1	[251, 250, 249]	1.258	18.252	24	0.276	0.264	0
webkit	1	light-strip	P	16	0.000	0.228	2.000	2.000	0.167	[3, 4]	1	[251, 250, 249]	1.258	15.261	30	0.341	0.261	
webkit	1	light-strip	W	16	0.000	0.230	2.000	1.414	0.167	[3, 3]	1	[251, 250, 249]	1.258	18.252	31	0.360	0.302	0
webkit	1	light-strip	fable	16	0.000	0.194	2.000	1.414	0.167	[2, 4]	1	[251, 250, 249]	1.258	16.707	30	0.390	0.338	0
webkit	1	light-strip	main	16	0.000	0.527	4.000	1.500	0.286	[2, 2]	1	[250, 248, 245]	1.237	15.190	77	0.385	0.295	0.350
webkit	1	light-strip	opus	16	0.000	0.255	2.000	1.414	0.182	[2, 3]	1	[251, 250, 249]	1.258	18.518	31	0.330	0.277	0
