exclusions:
cell mob-cr-4x-f3g-cold · chromium · 4× · fast3g · cold-disabled · vp mob
load base { 21.58 23.94 31.82 } → { 14.33 21.65 30.40 } · cured { 22.09 24.01 31.80 } → { 12.73 21.07 30.09 }
n: base 5, cured 5
| quantity | base median | base spread | cured median | cured spread | Δ | outside both spreads |
|---|---|---|---|---|---|---|
| fcpMs | 848.0 | 836.0–856.0 | 848.0 | 840.0–880.0 | 0.0 | no — inside the spread |
| lcpMs | 2492.0 | 2472.0–3328.0 | 2484.0 | 2444.0–3884.0 | -8.0 | no — inside the spread |
| boardReadyMs | 1411.6 | 1391.9–1545.7 | 1408.0 | 1395.8–1527.1 | -3.6 | no — inside the spread |
| firstBakeMs | 2482.9 | 2462.2–3313.3 | 2472.7 | 2432.9–3858.3 | -10.2 | no — inside the spread |
| firstBoilTickMs | 2570.9 | 2468.9–3559.1 | 2556.7 | 2438.5–4102.2 | -14.2 | no — inside the spread |
| tbt3000Ms | 578.0 | 554.0–1023.0 | 580.0 | 567.0–970.0 | 2.0 | no — inside the spread |
| longestTaskMs | 204.0 | 183.0–308.0 | 198.0 | 192.0–288.0 | -6.0 | no — inside the spread |
| rafGapsOver33 | 10.0 | 9.0–12.0 | 10.0 | 8.0–12.0 | 0.0 | no — inside the spread |
| worstRafGapMs | 668.4 | 658.8–681.5 | 674.1 | 666.0–687.0 | 5.7 | no — inside the spread |
| rafGapProxyTbtMs | 1294.0 | 1286.0–1821.0 | 1272.0 | 1235.0–1699.0 | -22.0 | no — inside the spread |
| bakeLayers | 4.0 | 4.0–4.0 | 4.0 | 4.0–4.0 | 0.0 | no — inside the spread |
