exclusions:
cell mob-cr-6x-unthr-cold · chromium · 6× · unthrottled · cold-disabled · vp mob
load base { 13.51 16.34 20.25 } → { 8.78 14.56 19.35 } · cured { 11.90 15.90 20.05 } → { 7.96 14.20 19.16 }
n: base 4, cured 4
| quantity | base median | base spread | cured median | cured spread | Δ | outside both spreads |
|---|---|---|---|---|---|---|
| fcpMs | 412.0 | 400.0–440.0 | 412.0 | 404.0–428.0 | 0.0 | no — inside the spread |
| lcpMs | 2528.0 | 2444.0–2560.0 | 2096.0 | 2064.0–2192.0 | -432.0 | YES |
| boardReadyMs | 413.1 | 401.6–439.0 | 414.3 | 404.3–426.7 | 1.2 | no — inside the spread |
| firstBakeMs | 2500.1 | 2420.3–2530.6 | 2082.3 | 2050.5–2179.6 | -417.9 | YES |
| firstBoilTickMs | 2714.4 | 2593.2–2726.3 | 2111.5 | 2096.5–2252.2 | -602.9 | YES |
| tbt3000Ms | 1017.0 | 992.0–1052.0 | 1014.0 | 997.0–1060.0 | -3.0 | no — inside the spread |
| longestTaskMs | 291.5 | 290.0–322.0 | 295.5 | 289.0–313.0 | 4.0 | no — inside the spread |
| rafGapsOver33 | 11.0 | 11.0–12.0 | 10.0 | 10.0–11.0 | -1.0 | no — inside the spread |
| worstRafGapMs | 325.3 | 311.1–345.7 | 317.6 | 311.1–334.8 | -7.6 | no — inside the spread |
| rafGapProxyTbtMs | 1253.5 | 1223.0–1283.0 | 1210.5 | 1172.0–1303.0 | -43.0 | no — inside the spread |
| bakeLayers | 4.0 | 4.0–4.0 | 4.0 | 4.0–4.0 | 0.0 | no — inside the spread |
