ben,psu-id,psu-name,bw,discount,cost,bucket
16072425,39B,Oxford Preparatory,500,50,20472,3
16054778,73B,Roxboro Community School,500,50,20472,3
208985,91A,Vance Charter School,500,60,20472,3
16076913,98B,Wilson Preparatory Academy,500,40,20472,3
16084041,61M,Charlotte Lab School,500,50,23556,3
16057186,10A,Classical Charter Schools of Leland ,500,60,23556,3
16076932,60U,Commonwealth High,500,90,23556,3
16056042,60I,Community School of Davidson,500,40,23556,3
16072391,60M,Corvian Community School,500,40,23556,3
16076926,60Q,Invest Collegiate Transform,250,40,17052,3
16065260,36C,Mountain Island Charter School,500,50,23556,3
16057887,49E,Pine Lake Preparatory,1000,40,32688,3
126918,150,Camden County Schools,1000,60,25836,3
126925,370,Gates County Schools,1000,70,25836,3
127047,950,Watauga County Schools,2000,60,43788,3
16057925,55A,Lincoln Charter School,1000,50,32688,3
127106,111,Asheville City Schools,2000,60,43788,3
126921,270,Currituck County Schools,2000,60,43788,3
16070944,27A,Water's Edge Village School,250,25,14664,5
17021391,62A,Tillery Charter Academy,250,60,14664,4
17017055,93R,Raleigh Oak Charter,250,40,12708,4
29516,78B,Southeastern Academy,250,50,12708,4
17017054,63C,Moore Montessori Community School,250,90,14664,4
16072729,94Z,Northeast Regional School - Biotech/Agri,250,50,14664,4
16072393,65D,Island Montessori Charter School,250,40,17052,4
16084052,45A,The Mountain Community Sch,250,20,17052,5
17020409,36F,Ridgeview Charter School,250,60,17052,4
16080875,61P,"VERITAS Community School, CFA",250,80,17052,4
16081920,63A,The Academy of Moore County,250,60,12708,4
17016518,29A,Davidson Charter Academy,250,60,12708,4
16063067,92D,Magellan Charter,250,20,12708,5
17016540,90D,Monroe Charter Academy,250,50,12708,4
17016932,90B,Union Day School,250,40,12708,4
16071635,19C,Willow Oak Montessori,250,40,12708,4
16020044,07A,Washington Montessori,250,60,14664,4
16072652,60K,Charlotte Secondary,250,40,17052,4
17021036,36G,Community Public Charter,250,40,17052,4
17016185,61W,East Voyager Academy of Charlotte,250,40,17052,4
17004494,45B,FernLeaf,250,40,17052,4
208170,11K,Francine Delany New School,250,40,17052,4
16072394,60F,Metrolina Reg Scholars Academy,250,20,17052,5
17016864,41M,Next Generation Academy,250,90,17052,4
16084049,44A,Shining Rock Classical Academy,250,80,17052,4
16076918,61K,United Community School,250,60,17052,4
16072423,92U,Longleaf School of the Arts,500,40,17256,4
16050822,12A,New Dimensions,250,40,12768,4
16050113,49B,American Renaissance School,250,60,12708,4
17019507,90F,Apprentice Academy High School,250,50,12708,4
17017052,93Q,Carolina Charter Academy,250,40,12708,4
16063073,13A,Carolina International School,500,40,17484,4
17004902,93L,Central Wake High School,250,90,12708,4
17013713,32T,Discovery Charter,250,25,12708,5
16084042,32R,Excelsior Classical Academy,500,40,17484,4
16072392,68C,The Expedition School,250,40,12708,4
17017376,92F,Franklin Academy,500,40,17484,4
17020998,41D,"Phoenix Academy-  Primary, Elem. Upper ",500,40,17484,4
16065262,92K,Raleigh Charter High School,250,40,12708,4
16076923,32Q,Reaching All Minds Academy,250,90,12708,4
28328,92E,Sterling Montessori Academy,250,20,12708,5
16069699,19B,Woods Charter,250,70,12708,4
