engine	dpr	strip	arm	size	photo_delta	cov	skel_med_dev	max_over_med	stroke_over_h	apertures	paper_regions	tile_rgb	tile_on_strip	core_median	sub45_n	frac_under45	frac_under3	blur_sigma
chromium	1	dark-strip	main	48	0.000	0.522	8.000	2.151	0.182	None	1	[250, 248, 245]	15.187	16.077	138	0.104	0.080	
chromium	1	dark-strip	opus	16	0.000	0.250	2.000	1.414	0.182	[2, 2]	1	[17, 15, 14]	1.187	15.317	28	0.301	0.226	0.150
chromium	1	dark-strip	opus	180	0.000	0.254	22.091	1.056	0.180	None	1	[17, 15, 14]	1.187	16.182	386	0.045	0.034	
chromium	1	dark-strip	opus	32	0.000	0.251	4.000	1.118	0.182	None	1	[17, 15, 14]	1.187	16.182	57	0.181	0.140	0.150
chromium	1	dark-strip	opus	48	0.000	0.253	6.000	1.202	0.182	None	1	[17, 15, 14]	1.187	16.182	98	0.144	0.103	
chromium	1	light-active	B	16	0.000	0.285	2.828	1.414	0.236	[2, 3]	1	[251, 250, 249]	1.042	18.991	37	0.352	0.295	0
chromium	1	light-active	B	180	0.000	0.290	27.785	1.048	0.198	None	1	[251, 250, 249]	1.042	18.991	364	0.037	0.030	
chromium	1	light-active	B	32	0.000	0.289	5.657	1.061	0.236	None	1	[251, 250, 249]	1.042	18.991	75	0.208	0.158	0.150
chromium	1	light-active	B	48	0.000	0.289	8.000	1.061	0.211	None	1	[251, 250, 249]	1.042	18.991	104	0.136	0.107	
chromium	1	light-active	P	16	0.000	0.223	2.000	2.000	0.167	[3, 4]	1	[251, 250, 249]	1.042	14.704	33	0.379	0.264	
chromium	1	light-active	P	180	0.000	0.228	16.125	2.166	0.119	None	1	[251, 250, 249]	1.042	18.991	421	0.054	0.044	
chromium	1	light-active	P	32	0.000	0.229	2.828	2.550	0.118	None	1	[251, 250, 249]	1.042	18.991	68	0.231	0.180	
chromium	1	light-active	P	48	0.000	0.227	4.472	2.236	0.124	None	1	[251, 250, 249]	1.042	18.991	103	0.166	0.129	
chromium	1	light-active	W	16	0.000	0.226	2.000	1.414	0.167	[3, 3]	1	[251, 250, 249]	1.042	17.896	33	0.375	0.295	0.150
chromium	1	light-active	W	180	0.000	0.230	22.361	1.043	0.167	None	1	[251, 250, 249]	1.042	18.991	411	0.053	0.043	
