arm | regime | theme | ground | engine | coarse | boardPx | median | worst | frac<3 | sens90 worst (n<3) | sens70
A-alias-0.95 | phone-390x844-dpr3-coarse | dark | paper | webkit | True | 366 | 3.997 | 3.989 | 0 | 3.492 (0/60) | 2.556 (11/60)
A-alias-0.95 | phone-390x844-dpr3-coarse | light | FRAME | chromium | True | 366 | 3.972 | 2.812 | 0.283 | 3.41 (0/43) | 2.527 (8/43)
A-alias-0.95 | phone-390x844-dpr3-coarse | light | FRAME | webkit | True | 366 | 3.965 | 2.408 | 0.283 | 3.449 (0/43) | 2.617 (8/43)
A-alias-0.95 | phone-390x844-dpr3-coarse | light | paper | chromium | True | 366 | 3.972 | 3.92 | 0 | 3.405 (0/60) | 2.561 (11/60)
A-alias-0.95 | phone-390x844-dpr3-coarse | light | paper | webkit | True | 366 | 3.965 | 3.925 | 0 | 3.4 (0/60) | 2.492 (11/60)
B-two-0.95 | desk-dpr1-fine | dark | FRAME | chromium | False | 640 | 3.084 | 3.084 | 0 | 2.728 (17/60) | 2.198 (40/60)
B-two-0.95 | desk-dpr1-fine | dark | FRAME | webkit | False | 640 | 3.09 | 3.082 | 0 | 2.731 (16/60) | 2.135 (41/60)
B-two-0.95 | desk-dpr1-fine | dark | paper | chromium | False | 640 | 3.084 | 3.084 | 0 | 2.737 (5/60) | 2.156 (32/60)
B-two-0.95 | desk-dpr1-fine | dark | paper | webkit | False | 640 | 3.096 | 3.09 | 0 | 2.737 (14/60) | 2.127 (39/60)
B-two-0.95 | desk-dpr1-fine | light | FRAME | chromium | False | 640 | 3.334 | 3.326 | 0 | 2.906 (4/39) | 2.283 (18/60)
B-two-0.95 | desk-dpr1-fine | light | FRAME | webkit | False | 640 | 3.353 | 3.32 | 0 | 2.929 (2/39) | 2.25 (19/60)
B-two-0.95 | desk-dpr1-fine | light | paper | chromium | False | 640 | 3.368 | 3.326 | 0 | 2.974 (1/60) | 2.26 (30/60)
B-two-0.95 | desk-dpr1-fine | light | paper | webkit | False | 640 | 3.353 | 3.316 | 0 | 3.002 (0/60) | 2.25 (31/60)
B-two-0.95 | land-844x390-dpr3-coarse | dark | FRAME | chromium | True | 366 | 3.084 | 3.084 | 0 | 2.728 (6/60) | 2.156 (28/60)
B-two-0.95 | land-844x390-dpr3-coarse | dark | FRAME | webkit | True | 366 | 3.096 | 3.045 | 0 | 2.737 (8/60) | 2.194 (28/60)
B-two-0.95 | land-844x390-dpr3-coarse | dark | paper | chromium | True | 366 | 3.084 | 3.084 | 0 | 2.861 (5/60) | 2.156 (21/60)
B-two-0.95 | land-844x390-dpr3-coarse | dark | paper | webkit | True | 366 | 3.096 | 3.096 | 0 | 2.768 (11/60) | 2.16 (28/60)
B-two-0.95 | land-844x390-dpr3-coarse | light | FRAME | chromium | True | 366 | 3.368 | 3.326 | 0 | 2.974 (1/43) | 2.31 (16/60)
B-two-0.95 | land-844x390-dpr3-coarse | light | FRAME | webkit | True | 366 | 3.353 | 3.267 | 0 | 2.929 (2/43) | 2.334 (17/60)
B-two-0.95 | land-844x390-dpr3-coarse | light | paper | chromium | True | 366 | 3.368 | 3.368 | 0 | 3.091 (0/60) | 2.31 (18/60)
B-two-0.95 | land-844x390-dpr3-coarse | light | paper | webkit | True | 366 | 3.353 | 3.353 | 0 | 2.96 (2/60) | 2.253 (23/60)
B-two-0.95 | phone-390x844-dpr3-coarse | dark | FRAME | chromium | True | 366 | 3.084 | 3.084 | 0 | 2.728 (7/60) | 2.124 (31/60)
B-two-0.95 | phone-390x844-dpr3-coarse | dark | FRAME | webkit | True | 366 | 3.096 | 3.049 | 0 | 2.776 (8/60) | 2.194 (25/60)
