ROW   lane-p5geom    no-pre chromi light               board cell 0           run n=60/60 med=3.972 worst=2.812 p30=3.92 frac=0.267 fracAll=0.267 vsIn med=3.619 worst=1.161 ring=True d=1.732 | 50% 1.87 28/60 | 70% 2.563 24/60 | 90% 3.539 16/60 | 100% 3.972 23/60
ROW   lane-p5geom    no-pre chromi light               board cell 40          run n=60/60 med=3.972 worst=3.92 p30=3.972 frac=0 fracAll=0 vsIn med=3.619 worst=1.32 ring=True d=1.732 | 50% 1.87 33/60 | 70% 2.617 20/60 | 90% 3.4 0/60 | 100% 3.972 17/60
ROW   lane-p5geom    no-pre chromi light               button.logo-trigger    run n=60/60 med=4.188 worst=3.493 p30=4.188 frac=0 fracAll=0 vsIn med=4.188 worst=4.188 ring=True d=0 | 50% 1.927 40/60 | 70% 2.658 14/60 | 90% 3.576 2/60 | 100% 4.188 2/60
ROW   lane-p5geom    no-pre chromi light               .drawer-tab            run n=60/60 med=4.188 worst=2.126 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=4.145 worst=1.002 ring=True d=0 | 50% 1.927 36/60 | 70% 2.561 17/60 | 90% 3.539 13/60 | 100% 4.188 15/60
ROW   lane-p5geom    no-pre chromi light               .controls-card button  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=4.289 worst=4.289 ring=True d=0 | 50% 1.95 34/60 | 70% 2.653 8/60 | 90% 3.92 0/60 | 100% 4.289 0/60
ROW   lane-p5geom    no-pre chromi dark                board cell 0           run n=60/60 med=3.989 worst=2.404 p30=3.989 frac=0.267 fracAll=0.267 vsIn med=3.691 worst=1.032 ring=True d=0 | 50% 1.872 27/60 | 70% 2.661 23/60 | 90% 3.553 16/60 | 100% 3.989 16/60
ROW   lane-p5geom    no-pre chromi dark                board cell 40          run n=60/60 med=3.989 worst=3.989 p30=3.989 frac=0 fracAll=0 vsIn med=3.691 worst=2.171 ring=True d=0 | 50% 1.872 31/60 | 70% 2.671 19/60 | 90% 3.515 0/60 | 100% 3.989 0/60
ROW   lane-p5geom    no-pre chromi dark                button.logo-trigger    run n=60/60 med=4.379 worst=3.361 p30=4.379 frac=0 fracAll=0 vsIn med=4.379 worst=4.379 ring=True d=0 | 50% 1.946 32/60 | 70% 2.776 13/60 | 90% 3.908 2/60 | 100% 4.379 2/60
ROW   lane-p5geom    no-pre chromi dark                .drawer-tab            run n=60/60 med=4.286 worst=2.528 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=3.338 worst=1.076 ring=True d=0 | 50% 1.456 43/60 | 70% 2.453 15/60 | 90% 3.642 8/60 | 100% 4.286 11/60
ROW   lane-p5geom    no-pre chromi dark                .controls-card button  run n=60/60 med=4.286 worst=4.286 p30=4.286 frac=0 fracAll=0 vsIn med=4.286 worst=4.286 ring=True d=0 | 50% 2.089 16/60 | 70% 2.685 7/60 | 90% 3.935 0/60 | 100% 4.286 0/60
LAW39 lane-p5geom    reduce chromi light               drawn ring             run1 n=60/60 med=4.188 worst=2.126 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.927 38/60 | 70% 2.561 17/60 | 90% 3.539 10/60 | 100% 4.188 12/60
