ROW   lane-graft     no-pre chromi light               board cell 0           run n=60/60 med=3.972 worst=3.92 p30=3.972 frac=0 fracAll=0 vsIn med=3.619 worst=1.511 ring=True d=1.732 | 50% 1.89 22/60 | 70% 2.629 10/60 | 90% 3.405 0/60 | 100% 3.972 11/60
ROW   lane-graft     no-pre chromi light               board cell 40          run n=60/60 med=3.972 worst=3.92 p30=3.972 frac=0 fracAll=0 vsIn med=3.619 worst=1.427 ring=True d=1.732 | 50% 1.87 30/60 | 70% 2.554 13/60 | 90% 3.4 0/60 | 100% 3.972 14/60
ROW   lane-graft     no-pre chromi light               button.logo-trigger    run n=60/60 med=4.188 worst=3.493 p30=4.188 frac=0 fracAll=0 vsIn med=4.188 worst=4.188 ring=True d=0 | 50% 1.927 40/60 | 70% 2.658 14/60 | 90% 3.576 2/60 | 100% 4.188 2/60
ROW   lane-graft     no-pre chromi light               .drawer-tab            run n=60/60 med=4.188 worst=2.126 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=4.145 worst=1.016 ring=True d=0 | 50% 1.927 35/60 | 70% 2.561 17/60 | 90% 3.539 10/60 | 100% 4.188 12/60
ROW   lane-graft     no-pre chromi light               .controls-card button  run n=60/60 med=4.289 worst=4.289 p30=4.289 frac=0 fracAll=0 vsIn med=4.289 worst=4.289 ring=True d=0 | 50% 1.95 34/60 | 70% 2.653 8/60 | 90% 3.92 0/60 | 100% 4.289 0/60
ROW   lane-graft     no-pre chromi dark                board cell 0           run n=60/60 med=3.989 worst=3.989 p30=3.989 frac=0 fracAll=0 vsIn med=3.691 worst=1.637 ring=True d=0 | 50% 1.254 19/60 | 70% 2.707 6/60 | 90% 3.456 0/60 | 100% 3.989 0/60
ROW   lane-graft     no-pre chromi dark                board cell 40          run n=60/60 med=3.989 worst=3.989 p30=3.989 frac=0 fracAll=0 vsIn med=3.691 worst=1.403 ring=True d=0 | 50% 1.872 28/60 | 70% 2.591 12/60 | 90% 3.461 0/60 | 100% 3.989 0/60
ROW   lane-graft     no-pre chromi dark                button.logo-trigger    run n=60/60 med=4.379 worst=3.361 p30=4.379 frac=0 fracAll=0 vsIn med=4.379 worst=4.379 ring=True d=0 | 50% 1.946 29/60 | 70% 2.776 13/60 | 90% 3.908 2/60 | 100% 4.379 2/60
ROW   lane-graft     no-pre chromi dark                .drawer-tab            run n=60/60 med=4.286 worst=2.489 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=3.338 worst=1.007 ring=True d=0 | 50% 1.328 47/60 | 70% 2.453 16/60 | 90% 3.338 10/60 | 100% 4.286 14/60
ROW   lane-graft     no-pre chromi dark                .controls-card button  run n=60/60 med=4.286 worst=4.286 p30=4.286 frac=0 fracAll=0 vsIn med=4.286 worst=4.286 ring=True d=0 | 50% 2.089 16/60 | 70% 2.685 7/60 | 90% 3.935 0/60 | 100% 4.286 0/60
LAW39 lane-graft     reduce chromi light               drawn ring             run1 n=60/60 med=4.188 worst=2.126 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.927 38/60 | 70% 2.561 17/60 | 90% 3.539 10/60 | 100% 4.188 12/60
LAW39 lane-graft     reduce chromi light               drawn ring             run2 n=60/60 med=4.188 worst=2.126 p30=4.188 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.927 38/60 | 70% 2.561 17/60 | 90% 3.539 10/60 | 100% 4.188 12/60
LAW39 lane-graft     reduce chromi dark                drawn ring             run1 n=60/60 med=4.286 worst=2.489 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.426 45/60 | 70% 2.453 15/60 | 90% 3.642 8/60 | 100% 4.286 11/60
LAW39 lane-graft     reduce chromi dark                drawn ring             run2 n=60/60 med=4.286 worst=2.489 p30=4.286 frac=0.1 fracAll=0.1 vsIn med=None worst=None ring=None d=None | 50% 1.426 45/60 | 70% 2.453 15/60 | 90% 3.642 8/60 | 100% 4.286 11/60
ROW   lane-graft     no-pre webkit light 0.95 #3a7bc4  FRAME                  run n=60/60 med=3.965 worst=1.337 p30=2.85 frac=0.333 fracAll=0.333 vsIn med=3.615 worst=1.012 ring=True d=1.414 | 50% 1.937 42/60 | 70% 2.474 33/60 | 90% 3.444 20/60 | 100% 3.965 24/60
