engine dpr arm theme cell | L left worst | L whole under/240 (unpainted) | L sides worst/under | H core med / worst / under incl dropped | H 2nd-photo worst | H sens 90% (worst, under incl dropped/60, n counted) | H sens 70%
webkit   1 HEAD dark  frame | 2.964 | 25/240 (0) | T 2.32/12 R 3.755/0 B 2.32/12 L 2.964/1 | 3.755 / 2.32 / 14/60 | 2.32 | 3.708 21/60 (n39) | 2.469 20/60 (n54)
webkit   1 HEAD dark  paper | 3.755 | 0/240 (0) | T 3.755/0 R 3.755/0 B 3.755/0 L 3.755/0 | 3.755 / 3.755 / 0/60 | 3.755 | 3.258 0/60 (n60) | 3.145 0/60 (n60)
webkit   2 A    light frame | 2.85 | 78/240 (0) | T 2.85/9 R 3.965/0 B 2.85/9 L 2.85/60 | 3.965 / 2.847 / 20/60 | 2.847 | 3.4 20/60 (n40) | 2.5 30/60 (n40)
webkit   2 A    light paper | 3.965 | 0/240 (0) | T 3.965/0 R 3.965/0 B 3.965/0 L 3.965/0 | 3.965 / 3.965 / 0/60 | 3.965 | 3.444 0/60 (n60) | 2.523 17/60 (n60)
webkit   2 A    dark  frame | 2.404 | 78/240 (0) | T 2.404/9 R 3.997/0 B 2.404/9 L 2.404/60 | 3.997 / 2.404 / 20/60 | 2.404 | 3.461 21/60 (n39) | 2.586 28/60 (n40)
webkit   2 A    dark  paper | 3.997 | 0/240 (0) | T 3.997/0 R 3.997/0 B 3.997/0 L 3.997/0 | 3.997 / 3.997 / 0/60 | 3.997 | 3.492 0/60 (n60) | 2.556 14/60 (n60)
webkit   2 B    light frame | 3.389 | 1/240 (0) | T 2.804/1 R 3.353/0 B 3.353/0 L 3.389/0 | 3.353 / 3.067 / 0/60 | 3.106 | 2.929 26/60 (n40) | 2.253 21/60 (n60)
webkit   2 B    light paper | 3.353 | 0/240 (0) | T 3.353/0 R 3.353/0 B 3.353/0 L 3.353/0 | 3.353 / 3.353 / 0/60 | 3.353 | 2.965 6/60 (n60) | 2.276 28/60 (n60)
webkit   2 B    dark  frame | 3.082 | 0/240 (0) | T 3.082/0 R 3.096/0 B 3.082/0 L 3.082/0 | 3.096 / 3.082 / 0/60 | 3.082 | 2.737 18/60 (n60) | 2.127 34/60 (n60)
webkit   2 B    dark  paper | 3.096 | 0/240 (0) | T 3.096/0 R 3.096/0 B 3.096/0 L 3.096/0 | 3.096 / 3.096 / 0/60 | 3.096 | 2.78 17/60 (n60) | 2.132 31/60 (n60)
webkit   2 C    light frame | 3.569 | 0/240 (0) | T 3.027/0 R 3.581/0 B 3.569/0 L 3.569/0 | 3.581 / 2.891 / 1/60 | 2.891 | 3.16 21/60 (n39) | 2.366 11/60 (n60)
webkit   2 C    light paper | 3.581 | 0/240 (0) | T 3.581/0 R 3.581/0 B 3.581/0 L 3.581/0 | 3.581 / 3.581 / 0/60 | 3.581 | 3.12 0/60 (n60) | 2.39 19/60 (n60)
webkit   2 C    dark  frame | 3.303 | 0/240 (0) | T 3.28/0 R 3.28/0 B 3.28/0 L 3.303/0 | 3.28 / 3.28 / 0/60 | 3.28 | 2.905 8/60 (n60) | 2.199 29/60 (n60)
webkit   2 C    dark  paper | 3.28 | 0/240 (0) | T 3.28/0 R 3.28/0 B 3.28/0 L 3.28/0 | 3.28 / 3.28 / 0/60 | 3.28 | 2.905 9/60 (n60) | 2.225 29/60 (n60)
webkit   2 HEAD light frame | 3.632 | 24/240 (0) | T 2.646/12 R 3.685/0 B 2.693/12 L 3.632/0 | 3.685 / 2.313 / 7/60 | 1.735 | 3.403 7/60 (n53) | 2.383 38/60 (n53)
webkit   2 HEAD light paper | 3.685 | 0/240 (0) | T 3.685/0 R 3.685/0 B 3.685/0 L 3.685/0 | 3.685 / 3.685 / 0/60 | 3.685 | 3.195 0/60 (n60) | 2.411 20/60 (n60)
webkit   2 HEAD dark  frame | 3.708 | 24/240 (0) | T 2.32/12 R 3.755/0 B 2.32/12 L 3.708/0 | 3.755 / 2.32 / 6/60 | 2.32 | 3.411 7/60 (n53) | 2.431 40/60 (n54)
webkit   2 HEAD dark  paper | 3.755 | 0/240 (0) | T 3.755/0 R 3.755/0 B 3.755/0 L 3.755/0 | 3.755 / 3.755 / 0/60 | 3.755 | 3.258 0/60 (n60) | 2.431 18/60 (n60)
