engine dpr arm theme cell | L left worst | L whole under/240 (unpainted) | L sides worst/under | H core med / worst / under incl dropped | H 2nd-photo worst | H sens 90% (worst, under incl dropped/60, n counted) | H sens 70%
chromium 1 I90  light frame | 2.812 | 80/240 (0) | T 2.812/10 R 3.92/0 B 2.812/10 L 2.812/60 | 3.972 / 2.812 / 21/60 | 2.812 | 3.483 21/60 (n39) | 2.5 31/60 (n39)
chromium 1 I90  light paper | 3.972 | 0/240 (0) | T 3.92/0 R 3.92/0 B 3.92/0 L 3.972/0 | 3.972 / 3.92 / 0/60 | 3.92 | 3.405 0/60 (n60) | 2.5 23/60 (n60)
chromium 1 I90  dark  frame | 2.404 | 80/240 (0) | T 2.436/10 R 3.989/0 B 2.404/10 L 2.404/60 | 3.989 / 2.404 / 21/60 | 2.404 | 3.515 21/60 (n39) | 2.661 29/60 (n39)
chromium 1 I90  dark  paper | 3.989 | 0/240 (0) | T 3.989/0 R 3.989/0 B 3.989/0 L 3.989/0 | 3.989 / 3.989 / 0/60 | 3.989 | 3.456 0/60 (n60) | 2.552 16/60 (n60)
webkit   1 I90  light frame | 2.85 | 80/240 (0) | T 2.85/10 R 3.925/0 B 2.85/10 L 2.85/60 | 3.965 / 2.85 / 21/60 | 2.85 | 3.367 21/60 (n39) | 2.535 26/60 (n39)
webkit   1 I90  light paper | 3.965 | 0/240 (0) | T 3.965/0 R 3.965/0 B 3.92/0 L 3.965/0 | 3.965 / 3.925 / 0/60 | 3.925 | 3.367 0/60 (n60) | 2.497 19/60 (n60)
webkit   1 I90  dark  frame | 2.404 | 80/240 (0) | T 2.404/10 R 3.989/0 B 2.404/10 L 2.404/60 | 3.997 / 2.404 / 21/60 | 2.404 | 3.499 21/60 (n39) | 2.555 25/60 (n39)
webkit   1 I90  dark  paper | 3.989 | 0/240 (0) | T 3.997/0 R 3.997/0 B 3.989/0 L 3.989/0 | 3.997 / 3.989 / 0/60 | 3.989 | 3.492 0/60 (n60) | 2.586 15/60 (n60)
