A4 drawer-trace VERBATIM (only --port differs) · chromium 6x · mobile 390x844 dpr1 (A4 sets no scale factor) · cold · 6 windows x 3 cycles, interleaved
| arm | gesture | dir | worst ms (median) | spread | long33 (each) | long50 (each) | tainted |
|---|---|---|---|---|---|---|---|
| base | FIRST | open | 54.2 | [49.1–66.8] | 1,1,1,1,1,1 | 0,0,0,1,1,1 | 0/6 |
| base | FIRST | close | 24.3 | [16.7–25.1] | 0,0,0,0,0,0 | 0,0,0,0,0,0 | 0/6 |
| base | steady | open | 25.0 | [24.5–41.8] | 0,0,0,0,0,0,1,1,0,0,0,1 | 0,0,0,0,0,0,0,0,0,0,0,0 | 0/12 |
| base | steady | close | 16.6 | [9.4–17.4] | 0,0,0,0,0,0,0,0,0,0,0,0 | 0,0,0,0,0,0,0,0,0,0,0,0 | 0/12 |
| cured | FIRST | open | 45.8 | [25.8–50.8] | 0,1,1,1,1,1 | 0,1,0,0,0,0 | 0/6 |
| cured | FIRST | close | 20.5 | [16.0–25.1] | 0,0,0,0,0,0 | 0,0,0,0,0,0 | 0/6 |
| cured | steady | open | 25.6 | [16.5–41.8] | 0,0,0,0,0,1,0,0,0,0,0,0 | 0,0,0,0,0,0,0,0,0,0,0,0 | 0/12 |
| cured | steady | close | 16.7 | [16.0–25.7] | 0,0,0,0,0,0,0,0,0,0,0,0 | 0,0,0,0,0,0,0,0,0,0,0,0 | 0/12 |
