A4 drawer-trace VERBATIM (only --port differs) · chromium 6x · mobile 390x844 dpr1 (A4 sets no scale factor) · cold · 3 windows x 3 cycles, interleaved
| arm | gesture | dir | worst ms (median) | spread | long33 (each) | long50 (each) | tainted |
|---|---|---|---|---|---|---|---|
| base | FIRST | open | 49.9 | [49.9–50.8] | 1,1,1 | 1,0,0 | 0/3 |
| base | FIRST | close | 16.6 | [15.7–25.0] | 0,0,0 | 0,0,0 | 0/3 |
| base | steady | open | 24.3 | [16.4–33.5] | 0,1,0,0,0,0 | 0,0,0,0,0,0 | 0/6 |
| base | steady | close | 16.7 | [16.6–17.5] | 0,0,0,0,0,0 | 0,0,0,0,0,0 | 0/6 |
| cured | FIRST | open | 57.7 | [49.8–58.3] | 1,1,1 | 1,0,1 | 0/3 |
| cured | FIRST | close | 25.9 | [25.9–33.9] | 1,0,0 | 0,0,0 | 0/3 |
| cured | steady | open | 25.3 | [16.8–33.3] | 0,0,0,0,0,0 | 0,0,0,0,0,0 | 0/6 |
| cured | steady | close | 13.0 | [9.3–17.4] | 0,0,0,0,0,0 | 0,0,0,0,0,0 | 0/6 |
