K-webkit-390t-plain | #2 | L->D | flip+71 | half+143 out@half=0.9496 | land+373 | crest 1.0919@+552 (c-l 179) | ho 1@+1070 | born 0.1183 | dS 0.11 | transl 0 both 17 | given 4.48@154 u3=0  | user 1.17@154 u3=6 110..187 | dt med 17 max 23 | btnMut 0 | settleTf none
K-webkit-390t-plain | #3 | D->L | flip+62 | half+144 out@half=0.9417 | land+373 | crest 1.0919@+553 (c-l 180) | ho 1@+1069 | born 0.1442 | dS 0.09 | transl 0 both 16 | given 4.69@125 u3=0  | user 1.22@125 u3=6 107..186 | dt med 17 max 26 | btnMut 0 | settleTf none
R-chromium-1280-plain | #0 | L->D | flip+156 | half+282 out@half=0 | land+599 | crest 1.082@+598.90 (c-l 0) | ho 1@+966 | born 0.0601 | dS 0.43 | transl 0 both 0 | given 4.35@291 u3=0  | user 1.14@291 u3=10 241..316 | dt med 8.3 max 140.4 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-chromium-1280-plain | #1 | D->L | flip+154 | half+279 out@half=0 | land+504 | crest 1.0919@+553.89 (c-l 50) | ho 1@+961 | born 0.0604 | dS 0.1 | transl 0 both 0 | given 4.37@261 u3=0  | user 1.14@261 u3=10 245..329 | dt med 8.3 max 17.1 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-chromium-1280-plain | #2 | L->D | flip+159 | half+268 out@half=0 | land+492 | crest 1.0919@+551.19 (c-l 60) | ho 1@+958 | born 0.124 | dS 0.12 | transl 0 both 0 | given 4.44@284 u3=0  | user 1.31@268 u3=6 235..292 | dt med 8.3 max 26.1 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-chromium-1280-plain | #3 | D->L | flip+155 | half+279 out@half=0 | land+504 | crest 1.0919@+554.39 (c-l 50) | ho 1@+963 | born 0.0668 | dS 0.11 | transl 0 both 0 | given 4.48@263 u3=0  | user 1.17@263 u3=9 245..321 | dt med 8.3 max 17.1 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-chromium-1280-rev | #0 | L->L | flip+156 | half+6 out@half=1 | land+6 | crest 0@+undefined (c-l -) | ho 0.06@+972 | born - | dS 0 | transl 0 both 0 | given 1.01@747 u3=8 672..754 | user 1.31@289 u3=16 246..754 | dt med 8.4 max 166.7 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-chromium-1280-rev | #1 | L->L | flip+157 | half+1 out@half=1 | land+1 | crest 0.1243@+258.59 (c-l 258) | ho 0.06@+1066 | born 0.1243 | dS 0 | transl 0 both 0 | given 4.23@276 u3=0  | user 1.1@276 u3=18 226..850 | dt med 8.4 max 165.6 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-chromium-390t-plain | #0 | L->D | flip+156 | half+289 out@half=0 | land+514 | crest 1.0919@+555.99 (c-l 42) | ho 1@+964 | born 0.0602 | dS 0.34 | transl 0 both 0 | given 4.35@298 u3=0  | user 1.14@298 u3=9 256..331 | dt med 8.3 max 116.4 | btnMut 0 | settleTf none
R-chromium-390t-plain | #1 | D->L | flip+157 | half+266 out@half=0 | land+491 | crest 1.0919@+557.39 (c-l 67) | ho 1@+965 | born 0.1283 | dS 0.07 | transl 0 both 0 | given 4.42@248 u3=0  | user 1.15@248 u3=11 232..316 | dt med 8.3 max 15.7 | btnMut 0 | settleTf none
R-chromium-390t-plain | #2 | L->D | flip+156 | half+266 out@half=0 | land+491 | crest 1.0919@+555.80 (c-l 65) | ho 1@+966 | born 0.0601 | dS 0.08 | transl 0 both 0 | given 4.24@274 u3=0  | user 1.11@274 u3=10 224..298 | dt med 8.3 max 17.6 | btnMut 0 | settleTf none
R-chromium-390t-plain | #3 | D->L | flip+157 | half+266 out@half=0 | land+491 | crest 1.0919@+557.2 (c-l 67) | ho 1@+966 | born 0.1275 | dS 0.12 | transl 0 both 0 | given 4.49@249 u3=0  | user 1.17@249 u3=9 231..307 | dt med 8.3 max 16.8 | btnMut 0 | settleTf none
R-webkit-1280-plain | #0 | L->D | flip+220 | half+297 out@half=0 | land+881 | crest 1.0389@+481 (c-l -400) | ho 1@+993 | born 0.2986 | dS 0.23 | transl 0 both 0 | given 4.87@297 u3=0  | user 1.27@297 u3=2 297..333 | dt med 17 max 400 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-webkit-1280-plain | #1 | D->L | flip+227 | half+315 out@half=0 | land+532 | crest 1.0916@+566 (c-l 34) | ho 1@+984 | born 0.1801 | dS 0.27 | transl 0 both 0 | given 4.2@276 u3=0  | user 1.95@276 u3=2 276..315 | dt med 19 max 89 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-webkit-1280-plain | #2 | L->D | flip+223 | half+336 out@half=0 | land+554 | crest 1.0919@+554 (c-l 0) | ho 1@+985 | born 0.1251 | dS 0.23 | transl 0 both 0 | given 4.62@336 u3=0  | user 1.21@336 u3=4 287..359 | dt med 19 max 86 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-webkit-1280-plain | #3 | D->L | flip+220 | half+293 out@half=0 | land+526 | crest 1.0914@+553 (c-l 27) | ho 1@+981 | born 0.2843 | dS 0.22 | transl 0 both 0 | given 5.65@260 u3=0  | user 1.54@293 u3=4 260..339 | dt med 18 max 73 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-webkit-1280-rev | #0 | L->L | flip+218 | half+16 out@half=1 | land+16 | crest 0.5306@+333 (c-l 317) | ho 0.06@+1152 | born 0.2553 | dS 0.11 | transl 0 both 0 | given 4.14@307 u3=0  | user 1.28@929 u3=7 291..966 | dt med 19 max 448 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-webkit-1280-rev | #1 | L->L | flip+202 | half+12 out@half=1 | land+12 | crest 0@+undefined (c-l -) | ho 0.06@+803 | born - | dS 0 | transl 0 both 0 | given 3.79@441 u3=0  | user 1.66@271 u3=7 239..488 | dt med 17 max 74 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
R-webkit-390t-plain | #0 | L->D | flip+206 | half+286 out@half=0 | land+585 | crest 1.0889@+585 (c-l 0) | ho 1@+989 | born 0.101 | dS 0.16 | transl 0 both 0 | given 4.44@305 u3=0  | user 1.17@295 u3=6 247..322 | dt med 17 max 161 | btnMut 0 | settleTf none
R-webkit-390t-plain | #1 | D->L | flip+219 | half+271 out@half=0 | land+486 | crest 1.0914@+570 (c-l 84) | ho 1@+984 | born 0.1251 | dS 0.14 | transl 0 both 0 | given 4.38@238 u3=0  | user 1.38@254 u3=5 238..300 | dt med 17 max 84 | btnMut 0 | settleTf none
R-webkit-390t-plain | #2 | L->D | flip+234 | half+305 out@half=0 | land+536 | crest 1.0919@+563 (c-l 27) | ho 1@+980 | born 0.141 | dS 0.16 | transl 0 both 0 | given 4.37@320 u3=0  | user 1.29@305 u3=5 273..333 | dt med 17 max 88 | btnMut 0 | settleTf none
R-webkit-390t-plain | #3 | D->L | flip+247 | half+328 out@half=0 | land+549 | crest 1.0919@+549 (c-l 0) | ho 1@+979 | born 0.1251 | dS 0.14 | transl 0 both 0 | given 4.5@298 u3=0  | user 1.4@316 u3=5 298..366 | dt med 17 max 102 | btnMut 0 | settleTf none
base-chromium-1280-plain | #0 | L->D | flip+4 | half+268 out@half=0.6487 | land+445 | crest 1.0919@+543.29 (c-l 98) | ho 1@+1045 | born 0.7773 | dS 0.28 | transl 18 both 1 | given 1.04@53 u3=8 4..94 | user 1.37@94 u3=8 4..94 | dt med 8.3 max 176.5 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-chromium-1280-plain | #1 | D->L | flip+8 | half+123 out@half=0.9468 | land+364 | crest 1.0919@+532.8 (c-l 168) | ho 1@+1032 | born 0.2227 | dS 0.08 | transl 35 both 16 | given 1.06@8 u3=8 8..83 | user 1.17@108 u3=10 58..166 | dt med 8.3 max 26.5 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
base-chromium-1280-plain | #2 | L->D | flip+5 | half+131 out@half=0.9459 | land+365 | crest 1.0919@+539.80 (c-l 175) | ho 1@+1040 | born 0.2222 | dS 0.11 | transl 36 both 18 | given 1.02@55 u3=12 5..123 | user 1.15@115 u3=15 5..165 | dt med 8.3 max 26.1 | btnMut 0 | settleTf matrix(1.08, 0, 0, 1.08, 0, 0)
