engine	dpr	strip	size	cov	cov_nofilter	cov_opsz52	filt_changed_frac	filt_mean_abs_cov	grad_ratio	blur_sigma_dev_px	glyph_core_CR_median	keyed_frac_under3	keyed_frac_under4.5	tile_on_strip
webkit	1	light-active	48	0.5242	0.5272	0.4746	0.2105	0.03	0.9811	0.5	16.08	0.155	0.189	1.06
webkit	1	light-strip	16	0.5265	0.5265	0.4782	0.5391	0.0512	0.9448	0.35	15.19	0.295	0.385	1.24
webkit	1	light-strip	180	0.5231	0.5275	0.4735	0.0448	0.0079	0.9883	0.35	16.08	0.034	0.042	1.24
webkit	1	light-strip	32	0.525	0.527	0.475	0.2695	0.032	0.9823	0.35	16.08	0.181	0.22	1.24
webkit	1	light-strip	48	0.5242	0.5272	0.4746	0.2105	0.03	0.9811	0.5	16.08	0.155	0.189	1.24
webkit	2	dark-active	16	0.5262	0.527	0.478	0.5439	0.0793	0.9075	1.0	15.19	0.294	0.341	11.38
webkit	2	dark-active	180	0.5231	0.5275	0.4735	0.0527	0.0124	0.9985	1.0	16.08	0.04	0.049	11.38
webkit	2	dark-active	32	0.525	0.5273	0.475	0.2632	0.0451	0.9857	1.0	16.08	0.175	0.221	11.38
webkit	2	dark-active	48	0.5242	0.5274	0.4746	0.1928	0.0317	0.9948	1.0	16.08	0.141	0.165	11.38
webkit	2	dark-strip	16	0.5262	0.527	0.4781	0.5439	0.0793	0.9075	1.0	15.19	0.294	0.341	15.19
webkit	2	dark-strip	180	0.5231	0.5275	0.4735	0.0527	0.0124	0.9985	1.0	16.08	0.04	0.049	15.19
webkit	2	dark-strip	32	0.525	0.5273	0.475	0.2632	0.0451	0.9857	1.0	16.08	0.175	0.221	15.19
webkit	2	dark-strip	48	0.5242	0.5274	0.4746	0.1928	0.0317	0.9948	1.0	16.08	0.141	0.165	15.19
webkit	2	light-active	16	0.5262	0.527	0.4781	0.5439	0.0793	0.9075	1.0	15.19	0.294	0.341	1.06
webkit	2	light-active	180	0.5231	0.5275	0.4735	0.0527	0.0124	0.9985	1.0	16.08	0.04	0.049	1.06
webkit	2	light-active	32	0.525	0.5273	0.475	0.2632	0.0451	0.9857	1.0	16.08	0.175	0.221	1.06
webkit	2	light-active	48	0.5242	0.5274	0.4746	0.1928	0.0317	0.9948	1.0	16.08	0.141	0.165	1.06
webkit	2	light-strip	16	0.5263	0.527	0.4781	0.5439	0.0793	0.9075	1.0	15.19	0.294	0.341	1.24
webkit	2	light-strip	180	0.5231	0.5275	0.4735	0.0527	0.0124	0.9985	1.0	16.08	0.04	0.049	1.24
webkit	2	light-strip	32	0.525	0.5273	0.475	0.2632	0.0451	0.9857	1.0	16.08	0.175	0.221	1.24
webkit	2	light-strip	48	0.5242	0.5274	0.4746	0.1928	0.0317	0.9948	1.0	16.08	0.141	0.165	1.24
