T9-W7 pass 3 · MRK-ABS R2 — matched-ordinate clearance, ring ink vs rule ink
worst = min over every sampled ordinate of every side of every cell, over all 4 poses.
'straight' = pass-2's model (rule at its nominal coordinate); 'wobbled' = the rule's real path.

### 4x4 · PROTO f=0.86 w=5.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  focus           cell        -3.531     -2.246   21.4%  |     1.732      1.101
  focus           subgrid     -9.234     -5.873   41.8%  |     0.232      0.147
  focus           frame      -19.692    -12.524   91.8%  |   -13.756     -8.749
  invalid         cell        -4.300     -2.735   30.4%  |     0.963      0.612
  invalid         subgrid    -10.003     -6.362   57.1%  |    -0.537     -0.342
  invalid         frame      -20.461    -13.013   94.4%  |   -14.525     -9.238
  invalid+focus   cell        -4.685     -2.980   36.3%  |     0.578      0.368
  invalid+focus   subgrid    -10.388     -6.607   61.3%  |    -0.922     -0.586
  invalid+focus   frame      -20.846    -13.258   95.7%  |   -14.910     -9.483

